净值日期,净值日期,累计净值
2022-04-29,2022-04-29,1.0
2022-05-05,2022-05-05,1.0
2022-05-06,2022-05-06,1.0
2022-05-09,2022-05-09,1.0001
2022-05-10,2022-05-10,1.0002
2022-05-11,2022-05-11,1.0004
2022-05-12,2022-05-12,0.9876
2022-05-13,2022-05-13,1.0137
2022-05-16,2022-05-16,1.0236
2022-05-17,2022-05-17,1.0522
2022-05-18,2022-05-18,1.0444
2022-05-19,2022-05-19,1.0129
2022-05-20,2022-05-20,1.0343
2022-05-23,2022-05-23,1.0178
2022-05-24,2022-05-24,0.9952
2022-05-25,2022-05-25,1.0018
2022-05-26,2022-05-26,1.0071
2022-05-27,2022-05-27,1.0443
2022-05-30,2022-05-30,1.0741
2022-05-31,2022-05-31,1.0952
2022-06-01,2022-06-01,1.083
2022-06-02,2022-06-02,1.0817
2022-06-06,2022-06-06,1.103
2022-06-07,2022-06-07,1.1009
2022-06-08,2022-06-08,1.1429
2022-06-09,2022-06-09,1.1298
2022-06-10,2022-06-10,1.1499
2022-06-13,2022-06-13,1.1016
2022-06-14,2022-06-14,1.1061
2022-06-15,2022-06-15,1.13
2022-06-16,2022-06-16,1.0883
2022-06-17,2022-06-17,1.1092
2022-06-20,2022-06-20,1.113
2022-06-21,2022-06-21,1.1321
2022-06-22,2022-06-22,1.0892
2022-06-23,2022-06-23,1.1118
2022-06-24,2022-06-24,1.1523
2022-06-27,2022-06-27,1.2025
2022-06-28,2022-06-28,1.2116
2022-06-29,2022-06-29,1.1768
2022-06-30,2022-06-30,1.1629
2022-07-01,2022-07-01,1.1591
2022-07-04,2022-07-04,1.1656
2022-07-05,2022-07-05,1.1583
2022-07-06,2022-07-06,1.1491
2022-07-07,2022-07-07,1.1432
2022-07-08,2022-07-08,1.1478
2022-07-11,2022-07-11,1.104
2022-07-12,2022-07-12,1.0874
2022-07-13,2022-07-13,1.0931
2022-07-14,2022-07-14,1.1018
2022-07-15,2022-07-15,1.0719
2022-07-18,2022-07-18,1.1013
