净值日期,净值日期,累计净值
2012-03-29,2012-03-29,1.0
2012-03-30,2012-03-30,1.0
2012-04-06,2012-04-06,1.0
2012-04-13,2012-04-13,1.0
2012-04-20,2012-04-20,1.002
2012-04-26,2012-04-26,1.002
2012-04-27,2012-04-27,1.002
2012-05-02,2012-05-02,1.002
2012-05-03,2012-05-03,1.0
2012-05-04,2012-05-04,0.992
2012-05-07,2012-05-07,0.99
2012-05-08,2012-05-08,0.985
2012-05-09,2012-05-09,0.981
2012-05-10,2012-05-10,0.984
2012-05-11,2012-05-11,0.981
2012-05-14,2012-05-14,0.973
2012-05-15,2012-05-15,0.967
2012-05-16,2012-05-16,0.964
2012-05-17,2012-05-17,0.961
2012-05-18,2012-05-18,0.956
2012-05-21,2012-05-21,0.963
2012-05-22,2012-05-22,0.964
2012-05-23,2012-05-23,0.96
2012-05-24,2012-05-24,0.964
2012-05-25,2012-05-25,0.964
2012-05-28,2012-05-28,0.965
2012-05-29,2012-05-29,0.974
2012-05-30,2012-05-30,0.953
2012-05-31,2012-05-31,0.949
2012-06-01,2012-06-01,0.933
2012-06-04,2012-06-04,0.929
2012-06-05,2012-06-05,0.934
2012-06-06,2012-06-06,0.954
2012-06-07,2012-06-07,0.958
2012-06-08,2012-06-08,0.955
2012-06-11,2012-06-11,0.951
2012-06-12,2012-06-12,0.958
2012-06-13,2012-06-13,0.955
2012-06-14,2012-06-14,0.96
2012-06-15,2012-06-15,0.973
2012-06-18,2012-06-18,0.97
2012-06-19,2012-06-19,0.98
2012-06-20,2012-06-20,0.977
2012-06-21,2012-06-21,0.951
2012-06-25,2012-06-25,0.937
2012-06-26,2012-06-26,0.941
2012-06-27,2012-06-27,0.953
2012-06-28,2012-06-28,0.954
2012-06-29,2012-06-29,0.98
2012-06-30,2012-06-30,0.98
2012-07-02,2012-07-02,0.984
2012-07-03,2012-07-03,1.003
2012-07-04,2012-07-04,1.002
2012-07-05,2012-07-05,0.994
2012-07-06,2012-07-06,0.983
2012-07-09,2012-07-09,0.976
2012-07-10,2012-07-10,0.966
2012-07-11,2012-07-11,0.975
2012-07-12,2012-07-12,0.971
2012-07-13,2012-07-13,0.983
2012-07-16,2012-07-16,0.988
2012-07-17,2012-07-17,0.997
2012-07-18,2012-07-18,1.004
2012-07-19,2012-07-19,1.012
2012-07-20,2012-07-20,1.01
2012-07-23,2012-07-23,0.997
2012-07-24,2012-07-24,0.986
