净值日期,净值日期,累计净值
2019-09-24,2019-09-24,1.0
2019-09-27,2019-09-27,0.9927
2019-09-30,2019-09-30,0.9939
2019-10-08,2019-10-08,0.9807
2019-10-09,2019-10-09,0.9861
2019-10-10,2019-10-10,0.9908
2019-10-11,2019-10-11,0.9995
2019-10-14,2019-10-14,0.9967
2019-10-15,2019-10-15,1.0046
2019-10-16,2019-10-16,1.0035
2019-10-17,2019-10-17,1.0063
2019-10-18,2019-10-18,1.0021
2019-10-21,2019-10-21,1.0072
2019-10-22,2019-10-22,1.0054
2019-10-23,2019-10-23,1.0075
2019-10-24,2019-10-24,1.0091
2019-10-25,2019-10-25,1.0134
2019-10-28,2019-10-28,1.0183
2019-10-29,2019-10-29,1.0169
2019-10-30,2019-10-30,1.0179
2019-10-31,2019-10-31,1.0143
2019-11-01,2019-11-01,1.0221
2019-11-04,2019-11-04,1.0258
2019-11-05,2019-11-05,1.0245
2019-11-06,2019-11-06,1.0209
2019-11-07,2019-11-07,1.0239
2019-11-08,2019-11-08,1.0236
2019-11-11,2019-11-11,1.0222
2019-11-12,2019-11-12,1.0256
2019-11-13,2019-11-13,1.0257
2019-11-14,2019-11-14,1.0272
2019-11-15,2019-11-15,1.0343
2019-11-18,2019-11-18,1.0343
2019-11-19,2019-11-19,1.0338
2019-11-20,2019-11-20,1.0322
2019-11-21,2019-11-21,1.0309
2019-11-22,2019-11-22,1.0339
2019-11-25,2019-11-25,1.0423
2019-11-26,2019-11-26,1.0441
2019-11-27,2019-11-27,1.0479
2019-11-29,2019-11-29,1.0444
2019-12-02,2019-12-02,1.0358
2019-12-03,2019-12-03,1.028
2019-12-04,2019-12-04,1.037
2019-12-05,2019-12-05,1.0394
2019-12-06,2019-12-06,1.0475
2019-12-09,2019-12-09,1.0452
2019-12-10,2019-12-10,1.0439
2019-12-11,2019-12-11,1.0453
2019-12-12,2019-12-12,1.0516
2019-12-13,2019-12-13,1.0507
2019-12-16,2019-12-16,1.0555
2019-12-17,2019-12-17,1.056
2019-12-18,2019-12-18,1.0561
2019-12-19,2019-12-19,1.0599
2019-12-20,2019-12-20,1.0653
2019-12-23,2019-12-23,1.0674
2019-12-24,2019-12-24,1.0675
2019-12-26,2019-12-26,1.0667
