净值日期,净值日期,累计净值
2018-06-15,2018-06-15,1.0004
2018-06-22,2018-06-22,1.0012
2018-06-29,2018-06-29,1.0033
2018-06-30,2018-06-30,1.0034
2018-07-06,2018-07-06,1.0039
2018-07-13,2018-07-13,1.0049
2018-07-20,2018-07-20,1.0065
2018-07-24,2018-07-24,1.0069
2018-07-27,2018-07-27,1.0069
2018-07-30,2018-07-30,1.007
2018-07-31,2018-07-31,1.0071
2018-08-01,2018-08-01,1.0071
2018-08-02,2018-08-02,1.0058
2018-08-03,2018-08-03,1.0084
2018-08-06,2018-08-06,1.0084
2018-08-07,2018-08-07,1.008
2018-08-08,2018-08-08,1.0081
2018-08-09,2018-08-09,1.0075
2018-08-10,2018-08-10,1.0018
2018-08-13,2018-08-13,0.9901
2018-08-14,2018-08-14,0.9999
2018-08-15,2018-08-15,0.9882
2018-08-16,2018-08-16,0.9961
2018-08-17,2018-08-17,1.0043
2018-08-20,2018-08-20,1.0064
2018-08-21,2018-08-21,1.0045
2018-08-22,2018-08-22,1.0057
2018-08-23,2018-08-23,0.9995
2018-08-24,2018-08-24,1.0111
2018-08-27,2018-08-27,1.0111
2018-08-28,2018-08-28,1.0057
2018-08-29,2018-08-29,1.0034
2018-08-30,2018-08-30,0.9969
2018-08-31,2018-08-31,1.0026
2018-09-04,2018-09-04,0.9801
2018-09-05,2018-09-05,0.9789
2018-09-06,2018-09-06,0.9783
2018-09-07,2018-09-07,0.9804
2018-09-10,2018-09-10,0.9672
2018-09-11,2018-09-11,0.9631
2018-09-12,2018-09-12,0.9744
2018-09-13,2018-09-13,0.9802
2018-09-14,2018-09-14,0.9802
2018-09-18,2018-09-18,0.9611
2018-09-19,2018-09-19,0.9664
2018-09-20,2018-09-20,0.9735
2018-09-21,2018-09-21,0.9538
2018-09-25,2018-09-25,0.9406
2018-09-26,2018-09-26,0.9433
2018-09-27,2018-09-27,0.9389
2018-09-28,2018-09-28,0.9313
2018-10-09,2018-10-09,0.8727
2018-10-10,2018-10-10,0.8727
2018-10-11,2018-10-11,0.8724
2018-10-12,2018-10-12,0.8936
2018-10-15,2018-10-15,0.8935
2018-10-16,2018-10-16,0.9104
2018-10-17,2018-10-17,0.8914
2018-10-18,2018-10-18,0.879
2018-10-19,2018-10-19,0.8816
2018-10-22,2018-10-22,0.8734
2018-10-23,2018-10-23,0.8742
2018-10-24,2018-10-24,0.8708
2018-10-25,2018-10-25,0.8747
2018-10-26,2018-10-26,0.8714
2018-10-29,2018-10-29,0.8761
2018-10-30,2018-10-30,0.8842
2018-10-31,2018-10-31,0.8927
2018-11-01,2018-11-01,0.9095
2018-11-02,2018-11-02,0.9123
2018-11-05,2018-11-05,0.9129
2018-11-06,2018-11-06,0.9098
2018-11-07,2018-11-07,0.9236
2018-11-08,2018-11-08,0.915
2018-11-09,2018-11-09,0.9154
2018-11-12,2018-11-12,0.9062
2018-11-13,2018-11-13,0.9243
2018-11-14,2018-11-14,0.9235
2018-11-15,2018-11-15,0.9317
2018-11-16,2018-11-16,0.9339
2018-11-19,2018-11-19,0.9354
2018-11-20,2018-11-20,0.9256
2018-11-21,2018-11-21,0.9342
2018-11-26,2018-11-26,0.9346
2018-11-27,2018-11-27,0.94
2018-11-28,2018-11-28,0.9522
2018-11-29,2018-11-29,0.9609
2018-11-30,2018-11-30,0.9596
2018-12-03,2018-12-03,0.9559
2018-12-04,2018-12-04,0.9421
2018-12-05,2018-12-05,0.9337
2018-12-06,2018-12-06,0.9235
2018-12-07,2018-12-07,0.9116
2018-12-10,2018-12-10,0.8804
2018-12-11,2018-12-11,0.904
2018-12-12,2018-12-12,0.9277
2018-12-13,2018-12-13,0.929
2018-12-14,2018-12-14,0.9264
2018-12-17,2018-12-17,0.9311
2018-12-18,2018-12-18,0.9508
2018-12-19,2018-12-19,0.9464
2018-12-20,2018-12-20,0.957
2018-12-21,2018-12-21,0.9416
2018-12-27,2018-12-27,0.9451
2018-12-28,2018-12-28,0.952
2018-12-31,2018-12-31,0.9512
2019-01-04,2019-01-04,0.9483
2019-01-07,2019-01-07,0.9382
2019-01-08,2019-01-08,0.94
2019-01-09,2019-01-09,0.9392
2019-01-10,2019-01-10,0.9361
2019-01-11,2019-01-11,0.9295
2019-01-15,2019-01-15,0.9223
2019-01-16,2019-01-16,0.9285
2019-01-17,2019-01-17,0.9296
2019-01-18,2019-01-18,0.9269
2019-01-22,2019-01-22,0.921
2019-01-23,2019-01-23,0.9217
2019-01-24,2019-01-24,0.9275
2019-01-25,2019-01-25,0.9207
2019-01-28,2019-01-28,0.9006
2019-01-29,2019-01-29,0.8975
2019-01-30,2019-01-30,0.9025
2019-01-31,2019-01-31,0.9118
2019-02-01,2019-02-01,0.9046
2019-02-12,2019-02-12,0.9159
2019-02-13,2019-02-13,0.9038
2019-02-14,2019-02-14,0.9041
2019-02-15,2019-02-15,0.8958
2019-02-19,2019-02-19,0.8884
2019-02-20,2019-02-20,0.8984
2019-02-21,2019-02-21,0.8963
2019-02-22,2019-02-22,0.9028
2019-02-25,2019-02-25,0.9128
2019-02-26,2019-02-26,0.9054
2019-02-27,2019-02-27,0.8971
2019-02-28,2019-02-28,0.9041
2019-03-01,2019-03-01,0.9053
2019-03-04,2019-03-04,0.9043
2019-03-05,2019-03-05,0.9293
2019-03-06,2019-03-06,0.9376
2019-03-07,2019-03-07,0.933
2019-03-08,2019-03-08,0.931
2019-03-11,2019-03-11,0.956
2019-03-12,2019-03-12,0.9623
2019-03-13,2019-03-13,0.9617
2019-03-14,2019-03-14,0.9643
2019-03-15,2019-03-15,0.9787
2019-03-18,2019-03-18,0.9855
2019-03-19,2019-03-19,0.9845
2019-03-20,2019-03-20,0.9876
2019-03-22,2019-03-22,0.9676
2019-03-25,2019-03-25,0.9658
2019-03-26,2019-03-26,0.9742
2019-03-27,2019-03-27,0.9709
2019-03-28,2019-03-28,0.9821
