净值日期,净值日期,累计净值
2011-08-31,2011-08-31,1.0
2011-09-02,2011-09-02,1.0
2011-09-09,2011-09-09,0.998
2011-09-16,2011-09-16,0.986
2011-09-20,2011-09-20,0.985
2011-09-21,2011-09-21,0.98
2011-09-22,2011-09-22,0.963
2011-09-23,2011-09-23,0.934
2011-09-26,2011-09-26,0.927
2011-09-27,2011-09-27,0.937
2011-09-28,2011-09-28,0.921
2011-09-29,2011-09-29,0.927
2011-09-30,2011-09-30,0.924
2011-10-10,2011-10-10,0.942
2011-10-11,2011-10-11,0.939
2011-10-12,2011-10-12,0.944
2011-10-13,2011-10-13,0.941
2011-10-14,2011-10-14,0.945
2011-10-17,2011-10-17,0.942
2011-10-18,2011-10-18,0.94
2011-10-19,2011-10-19,0.933
2011-10-20,2011-10-20,0.925
2011-10-21,2011-10-21,0.932
2011-10-24,2011-10-24,0.936
2011-10-25,2011-10-25,0.949
2011-10-26,2011-10-26,0.955
2011-10-27,2011-10-27,0.962
2011-10-28,2011-10-28,0.965
2011-10-31,2011-10-31,0.955
2011-11-01,2011-11-01,0.952
2011-11-02,2011-11-02,0.959
2011-11-03,2011-11-03,0.966
2011-11-04,2011-11-04,0.963
2011-11-07,2011-11-07,0.975
2011-11-08,2011-11-08,0.972
2011-11-09,2011-11-09,0.965
2011-11-10,2011-11-10,0.962
2011-11-11,2011-11-11,0.972
2011-11-14,2011-11-14,0.969
2011-11-15,2011-11-15,0.97
2011-11-16,2011-11-16,0.963
2011-11-17,2011-11-17,0.944
2011-11-18,2011-11-18,0.946
2011-11-21,2011-11-21,0.931
2011-11-22,2011-11-22,0.939
2011-11-23,2011-11-23,0.933
2011-11-24,2011-11-24,0.935
2011-11-25,2011-11-25,0.926
2011-11-28,2011-11-28,0.943
2011-11-29,2011-11-29,0.943
2011-11-30,2011-11-30,0.958
2011-12-01,2011-12-01,0.956
2011-12-02,2011-12-02,0.955
2011-12-05,2011-12-05,0.944
2011-12-06,2011-12-06,0.946
2011-12-07,2011-12-07,0.951
2011-12-08,2011-12-08,0.936
2011-12-09,2011-12-09,0.939
2011-12-12,2011-12-12,0.916
2011-12-13,2011-12-13,0.902
2011-12-14,2011-12-14,0.871
2011-12-15,2011-12-15,0.87
2011-12-16,2011-12-16,0.884
2011-12-19,2011-12-19,0.879
2011-12-20,2011-12-20,0.891
2011-12-21,2011-12-21,0.89
2011-12-22,2011-12-22,0.884
2011-12-23,2011-12-23,0.885
2011-12-26,2011-12-26,0.884
2011-12-27,2011-12-27,0.877
2011-12-28,2011-12-28,0.856
2011-12-29,2011-12-29,0.853
2011-12-30,2011-12-30,0.86
