净值日期,净值日期,累计净值
2011-09-29,2011-09-29,1.0
2011-09-30,2011-09-30,1.0
2011-10-14,2011-10-14,1.001
2011-10-21,2011-10-21,1.001
2011-10-24,2011-10-24,1.001
2011-10-25,2011-10-25,1.001
2011-10-26,2011-10-26,1.004
2011-10-27,2011-10-27,1.011
2011-10-28,2011-10-28,1.012
2011-10-31,2011-10-31,1.001
2011-11-01,2011-11-01,0.993
2011-11-02,2011-11-02,1.001
2011-11-03,2011-11-03,1.003
2011-11-04,2011-11-04,1.005
2011-11-07,2011-11-07,1.006
2011-11-08,2011-11-08,1.009
2011-11-09,2011-11-09,0.993
2011-11-10,2011-11-10,0.999
2011-11-11,2011-11-11,1.005
2011-11-14,2011-11-14,0.999
2011-11-15,2011-11-15,1.003
2011-11-16,2011-11-16,0.999
2011-11-17,2011-11-17,0.988
2011-11-18,2011-11-18,0.987
2011-11-21,2011-11-21,0.981
2011-11-22,2011-11-22,0.979
2011-11-23,2011-11-23,0.968
2011-11-24,2011-11-24,0.968
2011-11-25,2011-11-25,0.963
2011-11-28,2011-11-28,0.98
2011-11-29,2011-11-29,0.985
2011-11-30,2011-11-30,1.005
2011-12-01,2011-12-01,1.002
2011-12-02,2011-12-02,1.005
2011-12-05,2011-12-05,1.011
2011-12-06,2011-12-06,1.013
2011-12-07,2011-12-07,1.007
2011-12-08,2011-12-08,0.987
2011-12-09,2011-12-09,1.001
2011-12-12,2011-12-12,0.985
2011-12-13,2011-12-13,0.973
2011-12-14,2011-12-14,0.955
2011-12-15,2011-12-15,0.955
2011-12-16,2011-12-16,0.963
2011-12-19,2011-12-19,0.949
2011-12-20,2011-12-20,0.971
2011-12-21,2011-12-21,0.976
2011-12-22,2011-12-22,0.982
2011-12-23,2011-12-23,0.982
2011-12-26,2011-12-26,0.982
2011-12-27,2011-12-27,0.986
2011-12-28,2011-12-28,0.973
2011-12-29,2011-12-29,0.98
2011-12-30,2011-12-30,0.978
2011-12-31,2011-12-31,0.978
2012-01-04,2012-01-04,1.001
2012-01-05,2012-01-05,1.001
2012-01-06,2012-01-06,0.996
2012-01-09,2012-01-09,0.993
2012-01-10,2012-01-10,0.999
2012-01-11,2012-01-11,0.986
2012-01-12,2012-01-12,0.981
2012-01-13,2012-01-13,0.969
2012-01-16,2012-01-16,0.97
2012-01-17,2012-01-17,0.975
2012-01-18,2012-01-18,0.991
2012-01-19,2012-01-19,0.985
2012-01-20,2012-01-20,0.981
2012-01-30,2012-01-30,0.994
2012-01-31,2012-01-31,0.99
2012-02-01,2012-02-01,0.988
2012-02-02,2012-02-02,0.993
2012-02-03,2012-02-03,1.006
2012-02-06,2012-02-06,1.02
2012-02-07,2012-02-07,1.029
2012-02-08,2012-02-08,1.028
2012-02-09,2012-02-09,1.028
2012-02-10,2012-02-10,1.019
2012-02-13,2012-02-13,1.03
2012-02-14,2012-02-14,1.037
2012-02-15,2012-02-15,1.044
2012-02-16,2012-02-16,1.059
2012-02-17,2012-02-17,1.062
2012-02-20,2012-02-20,1.062
2012-02-21,2012-02-21,1.068
2012-02-22,2012-02-22,1.058
2012-02-23,2012-02-23,1.073
2012-02-24,2012-02-24,1.075
2012-02-27,2012-02-27,1.07
2012-02-28,2012-02-28,1.059
2012-02-29,2012-02-29,1.04
2012-03-01,2012-03-01,1.058
2012-03-02,2012-03-02,1.037
2012-03-05,2012-03-05,1.028
2012-03-06,2012-03-06,1.008
2012-03-07,2012-03-07,1.026
2012-03-08,2012-03-08,1.041
2012-03-09,2012-03-09,1.044
2012-03-12,2012-03-12,1.035
2012-03-13,2012-03-13,1.05
2012-03-14,2012-03-14,1.039
2012-03-15,2012-03-15,1.046
2012-03-16,2012-03-16,1.064
2012-03-19,2012-03-19,1.073
2012-03-20,2012-03-20,1.051
2012-03-21,2012-03-21,1.046
2012-03-22,2012-03-22,1.015
2012-03-23,2012-03-23,1.032
2012-03-26,2012-03-26,1.037
2012-03-27,2012-03-27,1.024
2012-03-28,2012-03-28,1.006
2012-03-29,2012-03-29,0.998
2012-03-30,2012-03-30,1.003
2012-03-31,2012-03-31,1.003
2012-04-05,2012-04-05,0.981
2012-04-06,2012-04-06,0.981
2012-04-09,2012-04-09,0.966
2012-04-10,2012-04-10,0.942
2012-04-11,2012-04-11,0.935
2012-04-12,2012-04-12,0.964
2012-04-13,2012-04-13,0.942
2012-04-16,2012-04-16,0.929
2012-04-17,2012-04-17,0.943
2012-04-18,2012-04-18,0.932
