净值日期,净值日期,累计净值
2022-02-22,2022-02-22,1.248
2022-02-23,2022-02-23,1.243
2022-02-24,2022-02-24,1.193
2022-02-25,2022-02-25,1.225
2022-02-28,2022-02-28,1.213
2022-03-01,2022-03-01,1.168
2022-03-02,2022-03-02,1.173
2022-03-03,2022-03-03,1.141
2022-03-04,2022-03-04,1.093
2022-03-07,2022-03-07,1.06
2022-03-08,2022-03-08,1.054
2022-03-09,2022-03-09,1.133
2022-03-10,2022-03-10,1.116
2022-03-11,2022-03-11,1.128
2022-03-14,2022-03-14,1.145
2022-03-15,2022-03-15,1.149
2022-03-16,2022-03-16,1.195
2022-03-17,2022-03-17,1.19
2022-03-18,2022-03-18,1.2
2022-03-21,2022-03-21,1.192
2022-03-22,2022-03-22,1.199
2022-03-23,2022-03-23,1.184
2022-03-24,2022-03-24,1.183
2022-03-25,2022-03-25,1.187
2022-03-28,2022-03-28,1.194
2022-03-29,2022-03-29,1.224
2022-03-30,2022-03-30,1.216
2022-03-31,2022-03-31,1.207
2022-04-01,2022-04-01,1.2
2022-04-06,2022-04-06,1.167
2022-04-07,2022-04-07,1.158
2022-04-08,2022-04-08,1.171
2022-04-11,2022-04-11,1.165
2022-04-12,2022-04-12,1.161
2022-04-13,2022-04-13,1.151
2022-04-14,2022-04-14,1.161
2022-04-15,2022-04-15,1.159
2022-04-18,2022-04-18,1.158
2022-04-19,2022-04-19,1.152
2022-04-20,2022-04-20,1.172
2022-04-21,2022-04-21,1.192
2022-04-22,2022-04-22,1.172
2022-04-25,2022-04-25,1.157
2022-04-26,2022-04-26,1.146
2022-04-27,2022-04-27,1.141
2022-04-28,2022-04-28,1.147
2022-04-29,2022-04-29,1.16
2022-05-05,2022-05-05,1.143
2022-05-06,2022-05-06,1.13
2022-05-09,2022-05-09,1.115
2022-05-10,2022-05-10,1.132
2022-05-11,2022-05-11,1.154
2022-05-12,2022-05-12,1.145
2022-05-13,2022-05-13,1.164
2022-05-16,2022-05-16,1.16
2022-05-17,2022-05-17,1.181
2022-05-18,2022-05-18,1.171
2022-05-19,2022-05-19,1.154
2022-05-20,2022-05-20,1.172
2022-05-23,2022-05-23,1.175
2022-05-24,2022-05-24,1.162
2022-05-25,2022-05-25,1.175
2022-05-26,2022-05-26,1.192
2022-05-27,2022-05-27,1.225
2022-05-30,2022-05-30,1.228
2022-05-31,2022-05-31,1.209
2022-06-01,2022-06-01,1.202
2022-06-02,2022-06-02,1.213
2022-06-06,2022-06-06,1.227
2022-06-07,2022-06-07,1.214
2022-06-08,2022-06-08,1.206
2022-06-09,2022-06-09,1.192
2022-06-10,2022-06-10,1.15
2022-06-13,2022-06-13,1.113
2022-06-14,2022-06-14,1.1
2022-06-15,2022-06-15,1.117
2022-06-16,2022-06-16,1.078
2022-06-17,2022-06-17,1.09
2022-06-20,2022-06-20,1.099
2022-06-21,2022-06-21,1.099
2022-06-22,2022-06-22,1.091
2022-06-23,2022-06-23,1.076
2022-06-24,2022-06-24,1.087
2022-06-27,2022-06-27,1.093
2022-06-28,2022-06-28,1.1
2022-06-29,2022-06-29,1.078
2022-06-30,2022-06-30,1.055
2022-07-01,2022-07-01,1.054
2022-07-04,2022-07-04,1.05
2022-07-05,2022-07-05,1.02
2022-07-06,2022-07-06,1.023
2022-07-07,2022-07-07,1.033
2022-07-08,2022-07-08,1.043
2022-07-11,2022-07-11,1.027
2022-07-12,2022-07-12,1.026
2022-07-13,2022-07-13,1.014
2022-07-14,2022-07-14,0.997
2022-07-15,2022-07-15,1.023
2022-07-18,2022-07-18,1.036
2022-07-19,2022-07-19,1.067
2022-07-20,2022-07-20,1.075
2022-07-21,2022-07-21,1.069
2022-07-22,2022-07-22,1.072
2022-07-25,2022-07-25,1.067
2022-07-26,2022-07-26,1.059
2022-07-27,2022-07-27,1.059
2022-07-28,2022-07-28,1.07
2022-07-29,2022-07-29,1.084
2022-08-01,2022-08-01,1.087
2022-08-02,2022-08-02,1.09
2022-08-03,2022-08-03,1.094
2022-08-04,2022-08-04,1.098
2022-08-05,2022-08-05,1.095
2022-08-08,2022-08-08,1.101
2022-08-09,2022-08-09,1.09
2022-08-10,2022-08-10,1.104
2022-08-11,2022-08-11,1.109
2022-08-12,2022-08-12,1.12
2022-08-15,2022-08-15,1.115
2022-08-16,2022-08-16,1.117
2022-08-17,2022-08-17,1.099
2022-08-18,2022-08-18,1.103
2022-08-19,2022-08-19,1.087
2022-08-22,2022-08-22,1.059
2022-08-23,2022-08-23,1.051
2022-08-24,2022-08-24,1.055
2022-08-25,2022-08-25,1.063
2022-08-26,2022-08-26,1.038
2022-08-29,2022-08-29,1.033
2022-08-30,2022-08-30,1.047
2022-08-31,2022-08-31,1.04
2022-09-01,2022-09-01,1.024
2022-09-02,2022-09-02,1.05
2022-09-05,2022-09-05,1.019
2022-09-06,2022-09-06,1.032
2022-09-07,2022-09-07,1.034
2022-09-08,2022-09-08,1.041
2022-09-09,2022-09-09,1.056
2022-09-13,2022-09-13,1.071
2022-09-14,2022-09-14,1.05
2022-09-15,2022-09-15,1.046
2022-09-16,2022-09-16,1.033
2022-09-19,2022-09-19,1.042
2022-09-20,2022-09-20,1.034
2022-09-21,2022-09-21,1.038
2022-09-22,2022-09-22,1.011
2022-09-23,2022-09-23,0.994
2022-09-26,2022-09-26,0.981
2022-09-27,2022-09-27,0.972
2022-09-28,2022-09-28,0.975
2022-09-29,2022-09-29,0.972
2022-09-30,2022-09-30,0.991
2022-10-10,2022-10-10,0.994
2022-10-11,2022-10-11,0.988
2022-10-12,2022-10-12,0.986
2022-10-13,2022-10-13,1.0
2022-10-14,2022-10-14,1.011
2022-10-17,2022-10-17,1.027
2022-10-18,2022-10-18,1.043
2022-10-19,2022-10-19,1.044
2022-10-20,2022-10-20,1.041
2022-10-21,2022-10-21,1.038
2022-10-24,2022-10-24,1.061
2022-10-25,2022-10-25,1.077
2022-10-26,2022-10-26,1.098
2022-10-27,2022-10-27,1.107
2022-10-28,2022-10-28,1.101
2022-10-31,2022-10-31,1.103
2022-11-01,2022-11-01,1.103
2022-11-02,2022-11-02,1.098
2022-11-03,2022-11-03,1.084
2022-11-04,2022-11-04,1.106
2022-11-07,2022-11-07,1.124
2022-11-08,2022-11-08,1.145
2022-11-09,2022-11-09,1.147
2022-11-10,2022-11-10,1.183
2022-11-11,2022-11-11,1.202
2022-11-14,2022-11-14,1.209
2022-11-15,2022-11-15,1.204
2022-11-16,2022-11-16,1.194
2022-11-17,2022-11-17,1.206
2022-11-18,2022-11-18,1.223
2022-11-21,2022-11-21,1.217
2022-11-22,2022-11-22,1.217
2022-11-23,2022-11-23,1.219
2022-11-24,2022-11-24,1.239
2022-11-25,2022-11-25,1.24
2022-11-28,2022-11-28,1.228
2022-11-29,2022-11-29,1.228
2022-11-30,2022-11-30,1.226
2022-12-01,2022-12-01,1.234
2022-12-02,2022-12-02,1.239
2022-12-05,2022-12-05,1.231
2022-12-06,2022-12-06,1.208
2022-12-07,2022-12-07,1.202
2022-12-08,2022-12-08,1.201
2022-12-09,2022-12-09,1.214
2022-12-12,2022-12-12,1.204
2022-12-13,2022-12-13,1.223
2022-12-14,2022-12-14,1.227
2022-12-15,2022-12-15,1.192
2022-12-16,2022-12-16,1.187
2022-12-19,2022-12-19,1.183
2022-12-20,2022-12-20,1.182
2022-12-21,2022-12-21,1.199
2022-12-22,2022-12-22,1.183
2022-12-23,2022-12-23,1.186
2022-12-26,2022-12-26,1.188
2022-12-27,2022-12-27,1.19
2022-12-28,2022-12-28,1.185
2022-12-29,2022-12-29,1.199
2022-12-30,2022-12-30,1.188
2022-12-31,2022-12-31,1.188
2023-01-03,2023-01-03,1.207
2023-01-04,2023-01-04,1.213
2023-01-05,2023-01-05,1.213
2023-01-06,2023-01-06,1.217
2023-01-09,2023-01-09,1.235
2023-01-10,2023-01-10,1.229
2023-01-11,2023-01-11,1.246
2023-01-12,2023-01-12,1.257
2023-01-13,2023-01-13,1.263
2023-01-16,2023-01-16,1.261
2023-01-17,2023-01-17,1.266
2023-01-18,2023-01-18,1.267
2023-01-19,2023-01-19,1.249
2023-01-20,2023-01-20,1.263
2023-01-30,2023-01-30,1.272
2023-01-31,2023-01-31,1.269
2023-02-01,2023-02-01,1.272
2023-02-02,2023-02-02,1.309
2023-02-03,2023-02-03,1.3
2023-02-06,2023-02-06,1.282
2023-02-07,2023-02-07,1.277
2023-02-08,2023-02-08,1.28
2023-02-09,2023-02-09,1.29
2023-02-10,2023-02-10,1.274
2023-02-13,2023-02-13,1.279
2023-02-14,2023-02-14,1.283
2023-02-15,2023-02-15,1.295
2023-02-16,2023-02-16,1.297
2023-02-17,2023-02-17,1.293
2023-02-20,2023-02-20,1.295
2023-02-21,2023-02-21,1.287
2023-02-22,2023-02-22,1.286
2023-02-23,2023-02-23,1.293
2023-02-24,2023-02-24,1.269
2023-02-27,2023-02-27,1.289
2023-02-28,2023-02-28,1.294
2023-03-01,2023-03-01,1.283
2023-03-02,2023-03-02,1.284
2023-03-03,2023-03-03,1.301
2023-03-06,2023-03-06,1.308
2023-03-07,2023-03-07,1.31
2023-03-08,2023-03-08,1.308
2023-03-09,2023-03-09,1.31
2023-03-10,2023-03-10,1.297
2023-03-13,2023-03-13,1.267
2023-03-14,2023-03-14,1.285
2023-03-15,2023-03-15,1.216
2023-03-16,2023-03-16,1.226
2023-03-17,2023-03-17,1.214
2023-03-20,2023-03-20,1.226
2023-03-21,2023-03-21,1.254
2023-03-22,2023-03-22,1.262
2023-03-23,2023-03-23,1.276
2023-03-24,2023-03-24,1.246
2023-03-27,2023-03-27,1.259
2023-03-28,2023-03-28,1.264
2023-03-29,2023-03-29,1.282
2023-03-30,2023-03-30,1.301
2023-03-31,2023-03-31,1.313
2023-04-03,2023-04-03,1.299
2023-04-04,2023-04-04,1.31
2023-04-06,2023-04-06,1.311
2023-04-07,2023-04-07,1.313
2023-04-10,2023-04-10,1.311
2023-04-11,2023-04-11,1.313
2023-04-12,2023-04-12,1.321
2023-04-13,2023-04-13,1.329
2023-04-14,2023-04-14,1.341
2023-04-17,2023-04-17,1.332
2023-04-18,2023-04-18,1.335
2023-04-19,2023-04-19,1.34
2023-04-20,2023-04-20,1.334
2023-04-21,2023-04-21,1.338
2023-04-24,2023-04-24,1.34
2023-04-25,2023-04-25,1.349
2023-04-26,2023-04-26,1.34
2023-04-27,2023-04-27,1.348
2023-04-28,2023-04-28,1.355
2023-05-04,2023-05-04,1.34
2023-05-05,2023-05-05,1.352
2023-05-08,2023-05-08,1.351
2023-05-09,2023-05-09,1.349
2023-05-10,2023-05-10,1.342
2023-05-11,2023-05-11,1.336
2023-05-12,2023-05-12,1.339
2023-05-15,2023-05-15,1.335
2023-05-16,2023-05-16,1.333
2023-05-17,2023-05-17,1.341
2023-05-18,2023-05-18,1.358
2023-05-19,2023-05-19,1.366
2023-05-22,2023-05-22,1.363
2023-05-23,2023-05-23,1.36
2023-05-24,2023-05-24,1.335
2023-05-25,2023-05-25,1.328
2023-05-26,2023-05-26,1.344
2023-05-29,2023-05-29,1.338
2023-05-30,2023-05-30,1.337
2023-05-31,2023-05-31,1.32
2023-06-01,2023-06-01,1.333
2023-06-02,2023-06-02,1.356
2023-06-05,2023-06-05,1.341
2023-06-06,2023-06-06,1.347
2023-06-07,2023-06-07,1.345
2023-06-08,2023-06-08,1.349
2023-06-09,2023-06-09,1.353
2023-06-12,2023-06-12,1.362
2023-06-13,2023-06-13,1.38
2023-06-14,2023-06-14,1.39
2023-06-15,2023-06-15,1.392
2023-06-16,2023-06-16,1.407
2023-06-19,2023-06-19,1.391
2023-06-20,2023-06-20,1.389
2023-06-21,2023-06-21,1.385
2023-06-26,2023-06-26,1.371
2023-06-27,2023-06-27,1.376
2023-06-28,2023-06-28,1.388
2023-06-29,2023-06-29,1.39
2023-06-30,2023-06-30,1.4
2023-07-03,2023-07-03,1.397
2023-07-04,2023-07-04,1.393
2023-07-05,2023-07-05,1.378
2023-07-06,2023-07-06,1.347
2023-07-07,2023-07-07,1.356
2023-07-10,2023-07-10,1.364
2023-07-11,2023-07-11,1.378
2023-07-12,2023-07-12,1.394
2023-07-13,2023-07-13,1.411
2023-07-14,2023-07-14,1.415
2023-07-17,2023-07-17,1.411
2023-07-18,2023-07-18,1.422
2023-07-19,2023-07-19,1.42
2023-07-20,2023-07-20,1.432
2023-07-21,2023-07-21,1.417
2023-07-24,2023-07-24,1.416
2023-07-25,2023-07-25,1.414
2023-07-26,2023-07-26,1.396
2023-07-27,2023-07-27,1.422
2023-07-28,2023-07-28,1.418
2023-07-31,2023-07-31,1.419
2023-08-01,2023-08-01,1.398
2023-08-02,2023-08-02,1.385
2023-08-03,2023-08-03,1.372
2023-08-04,2023-08-04,1.375
2023-08-07,2023-08-07,1.378
2023-08-08,2023-08-08,1.366
2023-08-09,2023-08-09,1.374
2023-08-10,2023-08-10,1.384
2023-08-11,2023-08-11,1.375
2023-08-14,2023-08-14,1.377
2023-08-15,2023-08-15,1.366
2023-08-16,2023-08-16,1.371
2023-08-17,2023-08-17,1.361
2023-08-18,2023-08-18,1.351
2023-08-21,2023-08-21,1.353
2023-08-22,2023-08-22,1.366
2023-08-23,2023-08-23,1.362
2023-08-24,2023-08-24,1.352
2023-08-25,2023-08-25,1.347
2023-08-28,2023-08-28,1.359
2023-08-29,2023-08-29,1.372
2023-08-30,2023-08-30,1.375
2023-08-31,2023-08-31,1.385
2023-09-01,2023-09-01,1.368
2023-09-04,2023-09-04,1.357
2023-09-05,2023-09-05,1.351
2023-09-06,2023-09-06,1.349
2023-09-07,2023-09-07,1.347
2023-09-08,2023-09-08,1.348
2023-09-11,2023-09-11,1.354
2023-09-12,2023-09-12,1.344
2023-09-13,2023-09-13,1.339
2023-09-14,2023-09-14,1.346
2023-09-15,2023-09-15,1.341
2023-09-18,2023-09-18,1.33
2023-09-19,2023-09-19,1.328
2023-09-20,2023-09-20,1.335
2023-09-21,2023-09-21,1.315
2023-09-22,2023-09-22,1.314
2023-09-25,2023-09-25,1.3
2023-09-26,2023-09-26,1.281
2023-09-27,2023-09-27,1.278
2023-09-28,2023-09-28,1.279
2023-10-09,2023-10-09,1.269
2023-10-10,2023-10-10,1.291
2023-10-11,2023-10-11,1.299
2023-10-12,2023-10-12,1.298
2023-10-13,2023-10-13,1.27
2023-10-16,2023-10-16,1.272
2023-10-17,2023-10-17,1.275
2023-10-18,2023-10-18,1.267
2023-10-19,2023-10-19,1.26
2023-10-20,2023-10-20,1.244
2023-10-23,2023-10-23,1.245
2023-10-24,2023-10-24,1.259
2023-10-25,2023-10-25,1.253
2023-10-26,2023-10-26,1.237
2023-10-27,2023-10-27,1.233
2023-10-30,2023-10-30,1.236
2023-10-31,2023-10-31,1.247
2023-11-01,2023-11-01,1.255
2023-11-02,2023-11-02,1.272
2023-11-03,2023-11-03,1.279
2023-11-06,2023-11-06,1.285
2023-11-07,2023-11-07,1.286
2023-11-08,2023-11-08,1.29
2023-11-09,2023-11-09,1.299
2023-11-10,2023-11-10,1.287
2023-11-13,2023-11-13,1.297
2023-11-14,2023-11-14,1.32
2023-11-15,2023-11-15,1.348
2023-11-16,2023-11-16,1.349
2023-11-17,2023-11-17,1.36
2023-11-20,2023-11-20,1.363
2023-11-21,2023-11-21,1.363
2023-11-22,2023-11-22,1.361
2023-11-23,2023-11-23,1.36
2023-11-24,2023-11-24,1.362
2023-11-27,2023-11-27,1.36
2023-11-28,2023-11-28,1.364
2023-11-29,2023-11-29,1.382
2023-11-30,2023-11-30,1.382
2023-12-01,2023-12-01,1.39
2023-12-04,2023-12-04,1.387
2023-12-05,2023-12-05,1.393
2023-12-06,2023-12-06,1.399
2023-12-07,2023-12-07,1.394
2023-12-08,2023-12-08,1.404
2023-12-11,2023-12-11,1.406
2023-12-12,2023-12-12,1.408
2023-12-13,2023-12-13,1.408
2023-12-14,2023-12-14,1.413
2023-12-15,2023-12-15,1.423
2023-12-18,2023-12-18,1.405
2023-12-19,2023-12-19,1.416
2023-12-20,2023-12-20,1.421
2023-12-21,2023-12-21,1.415
2023-12-22,2023-12-22,1.422
2023-12-25,2023-12-25,1.423
2023-12-26,2023-12-26,1.425
2023-12-27,2023-12-27,1.429
2023-12-28,2023-12-28,1.433
2023-12-29,2023-12-29,1.432
2023-12-31,2023-12-31,1.432
2024-01-02,2024-01-02,1.427
2024-01-03,2024-01-03,1.402
2024-01-04,2024-01-04,1.407
2024-01-05,2024-01-05,1.407
2024-01-08,2024-01-08,1.415
2024-01-09,2024-01-09,1.414
2024-01-10,2024-01-10,1.412
2024-01-11,2024-01-11,1.407
2024-01-12,2024-01-12,1.419
2024-01-15,2024-01-15,1.409
2024-01-16,2024-01-16,1.406
2024-01-17,2024-01-17,1.39
2024-01-18,2024-01-18,1.401
2024-01-19,2024-01-19,1.396
2024-01-22,2024-01-22,1.409
2024-01-23,2024-01-23,1.403
2024-01-24,2024-01-24,1.42
2024-01-25,2024-01-25,1.422
2024-01-26,2024-01-26,1.423
2024-01-29,2024-01-29,1.419
2024-01-30,2024-01-30,1.422
2024-01-31,2024-01-31,1.415
2024-02-01,2024-02-01,1.408
2024-02-02,2024-02-02,1.419
2024-02-05,2024-02-05,1.408
2024-02-06,2024-02-06,1.416
2024-02-07,2024-02-07,1.407
2024-02-08,2024-02-08,1.413
2024-02-19,2024-02-19,1.421
2024-02-20,2024-02-20,1.419
2024-02-21,2024-02-21,1.426
2024-02-22,2024-02-22,1.449
2024-02-23,2024-02-23,1.453
2024-02-26,2024-02-26,1.454
2024-02-27,2024-02-27,1.467
2024-02-28,2024-02-28,1.47
2024-02-29,2024-02-29,1.474
2024-03-01,2024-03-01,1.474
2024-03-04,2024-03-04,1.476
2024-03-05,2024-03-05,1.477
2024-03-06,2024-03-06,1.478
2024-03-07,2024-03-07,1.493
2024-03-08,2024-03-08,1.496
2024-03-11,2024-03-11,1.491
2024-03-12,2024-03-12,1.506
2024-03-13,2024-03-13,1.505
2024-03-14,2024-03-14,1.505
2024-03-15,2024-03-15,1.499
2024-03-18,2024-03-18,1.498
2024-03-19,2024-03-19,1.5
2024-03-20,2024-03-20,1.502
2024-03-21,2024-03-21,1.52
2024-03-22,2024-03-22,1.515
2024-03-25,2024-03-25,1.514
2024-03-26,2024-03-26,1.525
2024-03-27,2024-03-27,1.531
2024-03-28,2024-03-28,1.529
2024-03-29,2024-03-29,1.524
